Topic,Subtopic,Question,Options,Answer
Basic Information,Python history and features,"What was the initial release year of the Python programming language? a) 1989
b) 1990
c) 1991
d) 1992","a) 1989
b) 1990
c) 1991
d) 1992",C
Basic Information,Installation and environment setup,"Which of the following is NOT a recommended method for installing Python on a Windows system? a) Using the official Python installer from the Python website
b) Using a package manager like Anaconda
c) Using the Windows Store
d) Downloading and building the source code manually","a) Using the official Python installer from the Python website
b) Using a package manager like Anaconda
c) Using the Windows Store
d) Downloading and building the source code manually",D
Basic Information,Variables and data types,"What is the correct data type for storing a whole number in Python? a) int
b) float
c) str
d) bool","a) int
b) float
c) str
d) bool",A
Basic Information,Simple input/output operations,"Which of the following is the correct syntax to prompt the user for input and store it in a variable named ""name""? a) input(""Enter your name: "")
b) name = input(""Enter your name: "")
c) name = input(""Enter your name:)
d) input(""Enter your name: "", name)","a) input(""Enter your name: "")
b) name = input(""Enter your name: "")
c) name = input(""Enter your name:)
d) input(""Enter your name: "", name)",B
Control Structures,"Conditional statements (if, elif, else)","Which of the following statements is true about conditional statements in Python? A) The 'if' statement is used to execute a block of code only if a certain condition is true.
B) The 'else' statement is used to execute a block of code regardless of whether a certain condition is true or not.
C) The 'elif' statement is used to check for multiple conditions and execute different blocks of code accordingly.
D) All of the above. Please select the correct answer (A, B, C, or D).","A) The 'if' statement is used to execute a block of code only if a certain condition is true.
B) The 'else' statement is used to execute a block of code regardless of whether a certain condition is true or not.
C) The 'elif' statement is used to check for multiple conditions and execute different blocks of code accordingly.
D) All of the above. Please select the correct answer (A, B, C, or D).",D
Control Structures,"Flow control (break, continue, pass)","Which statement is used to exit a loop prematurely in Python? A) return
B) break
C) continue
D) pass","A) return
B) break
C) continue
D) pass",B
Functions,Function definition and calling,"What is the correct syntax for defining a function in Python? A) def function_name:
B) definition function_name():
C) def function_name():
D) function_name def():","A) def function_name:
B) definition function_name():
C) def function_name():
D) function_name def():",C
Functions,Parameters and return values,"Which of the following describes the purpose of parameters in Python functions? A) Parameters allow you to define and store values that can be used within a function.
B) Parameters specify the data type of the values that a function can accept as input.
C) Parameters determine the number of times a function can be called within a program.
D) Parameters indicate the order in which the statements within a function are executed.","A) Parameters allow you to define and store values that can be used within a function.
B) Parameters specify the data type of the values that a function can accept as input.
C) Parameters determine the number of times a function can be called within a program.
D) Parameters indicate the order in which the statements within a function are executed.",A
Functions,Anonymous functions (lambda),"Which of the following statements is true about anonymous functions in Python? a) They can have any number of arguments.
b) They can only have one argument.
c) They cannot have any arguments.
d) They can have a maximum of three arguments.","a) They can have any number of arguments.
b) They can only have one argument.
c) They cannot have any arguments.
d) They can have a maximum of three arguments.",B
Functions,Local and global variables,"Which of the following statements is true about local and global variables in Python? A) Local variables are declared within a function and can only be accessed within that function, while global variables are declared outside of any function and can be accessed from anywhere in the code.
B) Local variables are declared outside of any function and can be accessed from anywhere in the code, while global variables are declared within a function and can only be accessed within that function.
C) Both local and global variables can be accessed from anywhere in the code, but local variables are declared within a function and global variables are declared outside of any function.
D) Both local and global variables can only be accessed within the function where they are declared, but local variables are declared inside a loop and global variables are declared outside of a loop.","A) Local variables are declared within a function and can only be accessed within that function, while global variables are declared outside of any function and can be accessed from anywhere in the code.
B) Local variables are declared outside of any function and can be accessed from anywhere in the code, while global variables are declared within a function and can only be accessed within that function.
C) Both local and global variables can be accessed from anywhere in the code, but local variables are declared within a function and global variables are declared outside of any function.
D) Both local and global variables can only be accessed within the function where they are declared, but local variables are declared inside a loop and global variables are declared outside of a loop.",A
